,Y,X
1006,243,180
1007,243,179
1008,243,178
1009,243,177
1010,242,282
1011,242,281
1012,242,280
1013,242,279
1014,242,180
1015,242,179
1016,242,178
1017,242,177
1018,242,176
1019,241,282
1020,241,281
1021,241,280
1022,241,279
1023,241,179
1024,241,178
1025,241,177
1026,241,176
1027,240,283
1028,240,282
1029,240,281
1030,240,280
1031,240,179
1032,240,178
1033,240,177
1034,240,176
1035,239,283
1036,239,282
1037,239,281
1038,239,280
1039,239,179
1040,239,178
1041,239,177
1042,239,176
1043,238,283
1044,238,282
1045,238,281
1046,238,280
1047,238,179
1048,238,178
1049,238,177
1050,238,176
1051,237,283
1052,237,282
1053,237,281
1054,237,280
1055,237,179
1056,237,178
1057,237,177
1058,237,176
1059,236,284
1060,236,283
1061,236,282
1062,236,281
1063,236,179
1064,236,178
1065,236,177
1066,236,176
1067,235,284
1068,235,283
1069,235,282
1070,235,281
1071,235,179
1072,235,178
1073,235,177
1074,235,176
1075,234,284
1076,234,283
1077,234,282
1078,234,281
1079,234,179
1080,234,178
1081,234,177
1082,234,176
1083,233,284
1084,233,283
1085,233,282
1086,233,281
1087,233,179
1088,233,178
1089,233,177
1090,233,176
1091,232,285
1092,232,284
1093,232,283
1094,232,282
1095,232,179
1096,232,178
1097,232,177
1098,232,176
1099,231,285
1100,231,284
1101,231,283
1102,231,282
1103,231,179
1104,231,178
1105,231,177
1106,231,176
1107,230,285
1108,230,284
1109,230,283
1110,230,282
1111,230,179
1112,230,178
1113,230,177
1114,230,176
1115,229,285
1116,229,284
1117,229,283
1118,229,282
1119,229,179
1120,229,178
1121,229,177
1122,229,176
1123,228,286
1124,228,285
1125,228,284
1126,228,283
1127,228,178
1128,228,177
1129,228,176
1130,227,286
1131,227,285
1132,227,284
1133,227,283
1134,227,178
1135,227,177
1136,227,176
1137,226,286
1138,226,285
1139,226,284
1140,226,283
1141,226,178
1142,226,177
1143,226,176
1144,225,286
1145,225,285
1146,225,284
1147,225,283
1148,225,178
1149,225,177
1150,225,176
1151,224,287
1152,224,286
1153,224,285
1154,224,284
1155,224,178
1156,224,177
1157,224,176
1158,223,287
1159,223,286
1160,223,285
1161,223,284
1162,223,178
1163,223,177
1164,223,176
1165,222,287
1166,222,286
1167,222,285
1168,222,284
1169,222,178
1170,222,177
1171,222,176
1172,222,175
1173,221,287
1174,221,286
1175,221,285
1176,221,284
1177,221,178
1178,221,177
1179,221,176
1180,221,175
1181,220,377
1182,220,376
1183,220,375
1184,220,374
1185,220,288
1186,220,287
1187,220,286
1188,220,285
1189,220,178
1190,220,177
1191,220,176
1192,220,175
1193,219,378
1194,219,377
1195,219,376
1196,219,375
1197,219,374
1198,219,288
1199,219,287
1200,219,286
1201,219,285
1202,219,178
1203,219,177
1204,219,176
1205,219,175
1206,218,378
1207,218,377
1208,218,376
1209,218,375
1210,218,374
1211,218,373
1212,218,288
1213,218,287
1214,218,286
1215,218,285
1216,218,178
1217,218,177
1218,218,176
1219,218,175
1220,217,378
1221,217,377
1222,217,376
1223,217,375
1224,217,374
1225,217,373
1226,217,288
1227,217,287
1228,217,286
1229,217,285
1230,217,178
1231,217,177
1232,217,176
1233,217,175
1234,216,376
1235,216,375
1236,216,374
1237,216,373
1238,216,289
1239,216,288
1240,216,287
1241,216,286
1242,216,178
1243,216,177
1244,216,176
1245,216,175
1246,215,376
1247,215,375
1248,215,374
1249,215,373
1250,215,289
1251,215,288
1252,215,287
1253,215,286
1254,215,178
1255,215,177
1256,215,176
